w1,w2,algorithm,best_n,best_a,best_tsc
0.7,0.1,PSO,25,0.101,0.6135
0.7,0.1,GWO,25,0.1,0.6135
0.7,0.2,PSO,25,0.101,0.6135
0.7,0.2,GWO,25,0.1,0.6135
0.7,0.3,PSO,25,0.101,0.6135
0.7,0.3,GWO,25,0.1,0.6135
0.7,0.4,PSO,25,0.101,0.6135
0.7,0.4,GWO,21,0.1,0.624
0.7,0.5,PSO,20,0.171,0.7606
0.7,0.5,GWO,6,0.177,0.6503
0.7,0.6,PSO,6,0.179,0.7003
0.7,0.6,GWO,6,0.177,0.7003
0.7,0.7,PSO,6,0.174,0.7503
0.7,0.7,GWO,6,0.174,0.7503
0.7,0.8,PSO,6,0.174,0.8003
0.7,0.8,GWO,6,0.174,0.8003
0.7,0.9,PSO,6,0.174,0.8503
0.7,0.9,GWO,6,0.177,0.8503
0.7,1.0,PSO,6,0.174,0.9003
0.7,1.0,GWO,6,0.174,0.9003
0.8,0.1,PSO,25,0.101,0.7011
0.8,0.1,GWO,25,0.1,0.7011
0.8,0.2,PSO,20,0.118,0.678
0.8,0.2,GWO,25,0.1,0.7011
0.8,0.3,PSO,25,0.101,0.7011
0.8,0.3,GWO,25,0.1,0.7011
0.8,0.4,PSO,25,0.101,0.7011
0.8,0.4,GWO,25,0.1,0.7011
0.8,0.5,PSO,6,0.175,0.7075
0.8,0.5,GWO,25,0.1,0.7011
0.8,0.6,PSO,6,0.175,0.7575
0.8,0.6,GWO,6,0.177,0.7575
0.8,0.7,PSO,6,0.179,0.8075
0.8,0.7,GWO,6,0.177,0.8075
0.8,0.8,PSO,6,0.174,0.8575
0.8,0.8,GWO,6,0.177,0.8575
0.8,0.9,PSO,6,0.174,0.9075
0.8,0.9,GWO,6,0.177,0.9075
0.8,1.0,PSO,6,0.174,0.9575
0.8,1.0,GWO,6,0.174,0.9575
0.9,0.1,PSO,25,0.147,0.7806
0.9,0.1,GWO,25,0.1,0.7888
0.9,0.2,PSO,25,0.101,0.7888
0.9,0.2,GWO,25,0.1,0.7888
0.9,0.3,PSO,25,0.1,0.7888
0.9,0.3,GWO,25,0.1,0.7888
0.9,0.4,PSO,25,0.101,0.7888
0.9,0.4,GWO,25,0.1,0.7888
0.9,0.5,PSO,25,0.101,0.7888
0.9,0.5,GWO,21,0.1,0.7987
0.9,0.6,PSO,6,0.178,0.8147
0.9,0.6,GWO,6,0.18,0.8147
0.9,0.7,PSO,6,0.175,0.8647
0.9,0.7,GWO,6,0.176,0.8647
0.9,0.8,PSO,6,0.179,0.9147
0.9,0.8,GWO,6,0.177,0.9147
0.9,0.9,PSO,6,0.174,0.9647
0.9,0.9,GWO,6,0.174,0.9647
0.9,1.0,PSO,6,0.174,1.0147
0.9,1.0,GWO,6,0.174,1.0147
1.0,0.1,PSO,25,0.147,0.8674
1.0,0.1,GWO,25,0.1,0.8764
1.0,0.2,PSO,25,0.101,0.8764
1.0,0.2,GWO,25,0.1,0.8764
1.0,0.3,PSO,25,0.101,0.8764
1.0,0.3,GWO,25,0.1,0.8764
1.0,0.4,PSO,25,0.101,0.8764
1.0,0.4,GWO,25,0.1,0.8764
1.0,0.5,PSO,25,0.101,0.8764
1.0,0.5,GWO,25,0.1,0.8764
1.0,0.6,PSO,20,0.176,1.0294
1.0,0.6,GWO,21,0.1,0.8986
1.0,0.7,PSO,20,0.167,1.0794
1.0,0.7,GWO,6,0.175,0.9219
1.0,0.8,PSO,6,0.175,0.9719
1.0,0.8,GWO,6,0.177,0.9719
1.0,0.9,PSO,6,0.174,1.0219
1.0,0.9,GWO,6,0.177,1.0219
1.0,1.0,PSO,6,0.174,1.0719
1.0,1.0,GWO,6,0.174,1.0719
